timestamp, value
datetime, int
T,
2015-10-14 17:21:49.792897,517
2015-10-14 17:21:49.799339,493
2015-10-14 17:21:49.804726,483
2015-10-14 17:21:49.811142,471
2015-10-14 17:21:49.816644,453
2015-10-14 17:21:49.821836,445
2015-10-14 17:21:49.828299,440
2015-10-14 17:21:49.834758,436
2015-10-14 17:21:49.840928,435
2015-10-14 17:21:49.846221,430
2015-10-14 17:21:49.852497,430
2015-10-14 17:21:49.858948,429
2015-10-14 17:21:49.864339,425
2015-10-14 17:21:49.870792,428
2015-10-14 17:21:49.875963,436
2015-10-14 17:21:49.881976,429
2015-10-14 17:21:49.887357,418
2015-10-14 17:21:49.893164,418
2015-10-14 17:21:49.898917,429
2015-10-14 17:21:49.904177,434
2015-10-14 17:21:49.909305,434
2015-10-14 17:21:49.914428,431
2015-10-14 17:21:49.920767,430
2015-10-14 17:21:49.927158,430
2015-10-14 17:21:49.933567,436
2015-10-14 17:21:49.939937,442
2015-10-14 17:21:49.945459,442
2015-10-14 17:21:49.951068,438
2015-10-14 17:21:49.956992,445
2015-10-14 17:21:49.963445,454
2015-10-14 17:21:49.968771,451
2015-10-14 17:21:49.974468,444
2015-10-14 17:21:49.980358,451
2015-10-14 17:21:49.986830,466
2015-10-14 17:21:49.992187,466
2015-10-14 17:21:49.998017,461
2015-10-14 17:21:50.003454,461
2015-10-14 17:21:50.010504,464
2015-10-14 17:21:50.016096,466
2015-10-14 17:21:50.022266,465
2015-10-14 17:21:50.028784,467
2015-10-14 17:21:50.034922,470
2015-10-14 17:21:50.040207,471
2015-10-14 17:21:50.046674,469
2015-10-14 17:21:50.052176,473
2015-10-14 17:21:50.058412,476
2015-10-14 17:21:50.064149,470
2015-10-14 17:21:50.070503,465
2015-10-14 17:21:50.075986,471
2015-10-14 17:21:50.082421,479
2015-10-14 17:21:50.088070,480
2015-10-14 17:21:50.094562,478
2015-10-14 17:21:50.100995,478
2015-10-14 17:21:50.106250,477
2015-10-14 17:21:50.112160,475
2015-10-14 17:21:50.117750,473
2015-10-14 17:21:50.124159,475
2015-10-14 17:21:50.129291,481
2015-10-14 17:21:50.134934,480
2015-10-14 17:21:50.141372,480
2015-10-14 17:21:50.147817,486
2015-10-14 17:21:50.154214,485
2015-10-14 17:21:50.159457,477
2015-10-14 17:21:50.165874,474
2015-10-14 17:21:50.172067,478
2015-10-14 17:21:50.177557,480
2015-10-14 17:21:50.183722,478
2015-10-14 17:21:50.189210,481
2015-10-14 17:21:50.194357,486
2015-10-14 17:21:50.200802,487
2015-10-14 17:21:50.207193,488
2015-10-14 17:21:50.212392,488
2015-10-14 17:21:50.218816,481
2015-10-14 17:21:50.224029,481
2015-10-14 17:21:50.229669,487
2015-10-14 17:21:50.234780,489
2015-10-14 17:21:50.241123,489
2015-10-14 17:21:50.247293,487
2015-10-14 17:21:50.252835,491
2015-10-14 17:21:50.258877,497
2015-10-14 17:21:50.264111,497
2015-10-14 17:21:50.269237,496
2015-10-14 17:21:50.274544,495
2015-10-14 17:21:50.279712,502
2015-10-14 17:21:50.285034,505
2015-10-14 17:21:50.291384,499
2015-10-14 17:21:50.297707,500
2015-10-14 17:21:50.303937,501
2015-10-14 17:21:50.310575,492
2015-10-14 17:21:50.316902,494
2015-10-14 17:21:50.323286,514
2015-10-14 17:21:50.328652,524
2015-10-14 17:21:50.335235,518
2015-10-14 17:21:50.340473,514
2015-10-14 17:21:50.346710,517
2015-10-14 17:21:50.352137,518
2015-10-14 17:21:50.358495,509
2015-10-14 17:21:50.364912,499
2015-10-14 17:21:50.370672,498
2015-10-14 17:21:50.376027,500
2015-10-14 17:21:50.381575,495
2015-10-14 17:21:50.387955,493
2015-10-14 17:21:50.394423,500
2015-10-14 17:21:50.400303,498
2015-10-14 17:21:50.405836,491
2015-10-14 17:21:50.411222,493
2015-10-14 17:21:50.417666,499
2015-10-14 17:21:50.423653,500
2015-10-14 17:21:50.429041,502
2015-10-14 17:21:50.435395,507
2015-10-14 17:21:50.441766,521
2015-10-14 17:21:50.447375,563
2015-10-14 17:21:50.452888,659
2015-10-14 17:21:50.459261,785
2015-10-14 17:21:50.465083,925
2015-10-14 17:21:50.470755,993
2015-10-14 17:21:50.477050,991
2015-10-14 17:21:50.483471,920
2015-10-14 17:21:50.489353,635
2015-10-14 17:21:50.495842,361
2015-10-14 17:21:50.502336,334
2015-10-14 17:21:50.508744,412
2015-10-14 17:21:50.514330,478
2015-10-14 17:21:50.519706,493
2015-10-14 17:21:50.525895,481
2015-10-14 17:21:50.532347,484
2015-10-14 17:21:50.538280,492
2015-10-14 17:21:50.543555,486
2015-10-14 17:21:50.549169,480
2015-10-14 17:21:50.555600,485
2015-10-14 17:21:50.561051,490
2015-10-14 17:21:50.567549,488
2015-10-14 17:21:50.573255,485
2015-10-14 17:21:50.578494,488
2015-10-14 17:21:50.584014,504
2015-10-14 17:21:50.589551,510
2015-10-14 17:21:50.595665,505
2015-10-14 17:21:50.602043,511
2015-10-14 17:21:50.607271,516
2015-10-14 17:21:50.613169,511
2015-10-14 17:21:50.618911,517
2015-10-14 17:21:50.625410,527
2015-10-14 17:21:50.630513,529
2015-10-14 17:21:50.635656,534
2015-10-14 17:21:50.642001,546
2015-10-14 17:21:50.647707,549
2015-10-14 17:21:50.653724,551
2015-10-14 17:21:50.660088,557
2015-10-14 17:21:50.665288,565
2015-10-14 17:21:50.671769,583
2015-10-14 17:21:50.676889,601
2015-10-14 17:21:50.683329,613
2015-10-14 17:21:50.688595,624
2015-10-14 17:21:50.695021,638
2015-10-14 17:21:50.700239,645
2015-10-14 17:21:50.706645,648
2015-10-14 17:21:50.711906,648
2015-10-14 17:21:50.718363,652
2015-10-14 17:21:50.724090,652
2015-10-14 17:21:50.730511,648
2015-10-14 17:21:50.736197,639
2015-10-14 17:21:50.741433,622
2015-10-14 17:21:50.747311,609
2015-10-14 17:21:50.753846,594
2015-10-14 17:21:50.759099,566
2015-10-14 17:21:50.765519,544
2015-10-14 17:21:50.771968,527
2015-10-14 17:21:50.778386,501
2015-10-14 17:21:50.784197,476
2015-10-14 17:21:50.790602,457
2015-10-14 17:21:50.797020,445
2015-10-14 17:21:50.803460,439
2015-10-14 17:21:50.809901,430
2015-10-14 17:21:50.816278,421
2015-10-14 17:21:50.822450,424
2015-10-14 17:21:50.827852,430
2015-10-14 17:21:50.834247,422
2015-10-14 17:21:50.839484,415
2015-10-14 17:21:50.845882,418
2015-10-14 17:21:50.851809,422
2015-10-14 17:21:50.858207,422
2015-10-14 17:21:50.864681,419
2015-10-14 17:21:50.869983,417
2015-10-14 17:21:50.876407,420
2015-10-14 17:21:50.882765,420
2015-10-14 17:21:50.889150,420
2015-10-14 17:21:50.895372,423
2015-10-14 17:21:50.901764,427
2015-10-14 17:21:50.908203,424
2015-10-14 17:21:50.913830,421
2015-10-14 17:21:50.920238,427
2015-10-14 17:21:50.926718,430
2015-10-14 17:21:50.932430,424
2015-10-14 17:21:50.938972,433
2015-10-14 17:21:50.945346,447
2015-10-14 17:21:50.950886,442
2015-10-14 17:21:50.956618,432
2015-10-14 17:21:50.963053,436
2015-10-14 17:21:50.968996,446
2015-10-14 17:21:50.975462,448
2015-10-14 17:21:50.981891,440
2015-10-14 17:21:50.988314,441
2015-10-14 17:21:50.994740,451
2015-10-14 17:21:51.000201,459
2015-10-14 17:21:51.006650,456
2015-10-14 17:21:51.013091,457
2015-10-14 17:21:51.019570,460
2015-10-14 17:21:51.025246,459
2015-10-14 17:21:51.031769,455
2015-10-14 17:21:51.036982,456
2015-10-14 17:21:51.043423,467
2015-10-14 17:21:51.048552,471
2015-10-14 17:21:51.053712,464
2015-10-14 17:21:51.059985,462
2015-10-14 17:21:51.066452,464
2015-10-14 17:21:51.071692,463
2015-10-14 17:21:51.078189,462
2015-10-14 17:21:51.083506,462
2015-10-14 17:21:51.089998,460
2015-10-14 17:21:51.095877,458
